,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Hoàng Thị Lin Na,"sản phẩm rất tốt, da mình nhạy cảm nên bs khuyên sử dụng hiệu này, tẩy sạch da và dễ chịu, mình rất ưng ý",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,14: 55 | 10/10/2020,5.0
1,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Mai Nguyen,"sản phâm dùng tốt, da nhạy cảm, cạnh tranh dc vơi bioderma",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 200ml,19: 23 | 03/08/2019,4.0
2,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Nguyễn Thị Trang Nhung,"Sản phẩm tốt, dịu nhẹ, tẩy sạch mà không bị khô da",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,11: 50 | 15/05/2019,5.0
3,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Linh Chi,"mình thấy ok, đúng là tiền nào của nấy",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,12: 13 | 11/10/2021,5.0
4,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Quang Huang,mua đi mua lại mua mãi mua hoài không thôi 9/10nha máy chế,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,09: 44 | 11/10/2021,5.0
5,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,My Võ,"Chân ái, sài ko biết bao nhiêu bình luôn",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,14: 44 | 25/09/2021,5.0
6,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Bội Bội,"Theo mình thấy thì loại này mình xài hợp quá trời :(( lựa chọn hàng đầu cho da nhạy cảm mình í. Hồi đợt mua chai to bị chôm mất đau gần chớt, nma khuyên mn nên sử dụng loại này nhe",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,20: 38 | 24/09/2021,5.0
7,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Đào Thu Hà,Tẩy tran sạch nhưng da hơi bị rát nhẹ,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 200ml Đã mua hàng online,20: 02 | 14/06/2021,4.0
8,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,C HIẾU,"tẩy trang rất sạch, sắp mua chai tiếp theo",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,18: 43 | 02/06/2021,5.0
9,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Trần Kim Tuyên,"Sản phẩm chính hãng, chất lượng tốt, dịu nhẹ cho da nhạy cảm, sau khi tẩy trang da không bị khô hay căng, cảm giác ẩm mịn nhưng không bị bết dính",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,17: 39 | 30/05/2021,5.0
10,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Ngọc Phụng,Sp tốt làm nhẹ da không bị khô tức da . Cảm giác như lau bằng nước,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 200ml Đã mua hàng online,23: 29 | 19/04/2021,5.0
11,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Khát Vọng,"sp xài rất tốt, êm lắm",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,13: 02 | 07/04/2021,5.0
12,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Nam Thương,"Oke la, dễ chịu, sạch da, không kích ứng",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,01: 34 | 05/04/2021,5.0
13,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Ngọc Mỹ,Ngon,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,14: 49 | 11/03/2024,4.0
14,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Lê Hoanh,SP dùng cho bé 10 tuổi được k shop,[Mini] Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 50ml Đã mua hàng online,09: 05 | 11/12/2023,5.0
15,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Kieulinh Truong,Thương hiệu này tốt,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml,12: 53 | 03/12/2023,4.0
16,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Kim Phụng,Sp xài ok.. dịu nhẹ.. sạch da.. mùi thơm rất dễ chịu..Nói chung là lần đầu chuyển qua hiệu này xài thấy ưng!,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,14: 43 | 04/10/2023,5.0
17,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Thien Nguyen,dùng tốt nhưng chỉ cho 4 sao vì k tặng mặt nạ,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,13: 04 | 01/10/2023,4.0
18,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Minh Hiếu,"Shop giao hàng nhanh, đóng gói cẩn thận sao khi mở ra vẫn bị chảy nước.",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,09: 35 | 29/09/2023,5.0
19,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Mỹ Hạnh,mình mua chai 50ml về xài thử quá tuyệt vời mn ạ trc mình cùng xài nhìu loại dnahf cho d anhyj cảm nhưng nghe nhìu bạn rivier mua loại này tẩy trang mặt đỡ mụn ẩn như dùng các loại trc đây 10 điểm,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,13: 48 | 03/09/2023,5.0
20,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,CHỊ trinh,Tuyệt vời,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,12: 34 | 11/07/2023,5.0
21,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Lan Thanh,"Tẩy trang lành tính mà lại rất là sạch , da kích ứng nặng hay cực kỳ nhạy cảm đều sử dụng rất ok . Rất là nên mua nha",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Đã mua hàng online,16: 05 | 16/06/2023,5.0
22,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-200ml-8395.html,"['7979', '8395', '43795', '114938']",8395,Cát An Nhiên,Sản phẩm dùng tốt quá,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml,12: 34 | 13/04/2023,5.0
23,https://hasaki.vn/san-pham/kem-duong-am-bioderma-chuyen-sau-cho-da-rat-kho-75ml-97399.html,"['97399', '97401']",97399,Lê hoài phương,Ok,Kem Dưỡng Ẩm Bioderma Chuyên Sâu Cho Da Rất Khô 75ml Đã mua hàng online,07: 01 | 05/02/2023,5.0
24,https://hasaki.vn/san-pham/kem-duong-am-bioderma-chuyen-sau-cho-da-rat-kho-75ml-97399.html,"['97399', '97401']",97399,HANH VO,"Da mình đang dúng Re với BHA nên da cực khô và ngứa, sài em này vào buổi sáng thì đỡ khô và hết ngứa hẳn hơn rất nhiều, bạn nào bị như mình thì thửu em này nhé, mình đã thử rất nhiều em kem dưỡng rồi nhưng k ăn thua gì hết.",Kem Dưỡng Ẩm Bioderma Chuyên Sâu Cho Da Rất Khô 75ml Đã mua hàng online,11: 18 | 27/01/2022,5.0
25,https://hasaki.vn/san-pham/kem-duong-am-bioderma-chuyen-sau-cho-da-rat-kho-75ml-97399.html,"['97399', '97401']",97399,Phạm Thị Thu Thuỷ,Da mình là da cực kì khô nhưng sử dụng em này xong da ẩm mượt rất thích. Mặc dù hơi bết một chút nhưng giữ ẩm tốt. Mình đã tìm ra chân ái rồi,Kem Dưỡng Ẩm Bioderma Chuyên Sâu Cho Da Rất Khô 200ml Đã mua hàng online,10: 51 | 27/12/2021,5.0
26,https://hasaki.vn/san-pham/kem-duong-am-bioderma-chuyen-sau-cho-da-rat-kho-75ml-97399.html,"['97399', '97401']",97399,Cheryl Trang,Chất kem dưỡng khá đặc nhưng thấm nhanh không hề bết dính khó chịu. Dưỡng ẩm tốt nhất là trong mùa hanh khô này nhưng chỉ nên sử dụng vào buổi sáng,Kem Dưỡng Ẩm Bioderma Chuyên Sâu Cho Da Rất Khô 75ml Đã mua hàng online,23: 12 | 23/12/2021,5.0
27,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,Quyên Đỗ,"xài bộ này với kcn nhà laroche mấy năm rồi,chưa có ý định đổi sang hãng khác.srm xài the mát cực kì,lại sạch da nữa.trước da mụn nổi,mụn ẩn nhiều,kiên trì dùng h ai cũng khen da mịn,đẹp. ai da dầu mụn,hhtd thì nên xem xét dùng thử nha.bảo đảm ưng luôn ý.",Gel Rửa Mặt & Tắm La Roche-Posay Làm Sạch & Giảm Mụn 400ml Đã mua hàng online,12: 20 | 24/12/2023,5.0
28,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,Tran Thi Hong Anh,tốt nhưng mà nên cách ngày dùng. đừng như t dùng hằng ngày làm nách nó rát k dùng đc khử mùi,Gel Rửa Mặt & Tắm La Roche-Posay Làm Sạch & Giảm Mụn 400ml Đã mua hàng online,17: 08 | 13/11/2023,5.0
29,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,Hồng Vân,"Sản phẩm phù hợp với da dầu của mình, rất thích dùng loại này.","Gel Rửa Mặt La Roche-Posay Giảm Mụn Cho Mặt, Toàn Thân 50ml Đã mua hàng online",00: 21 | 11/12/2022,5.0
30,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,Hoàng Yến,sử dụng mát da rửa mặt xong thấy da thoải mái sảng khoái mình thấy e này sử dụng ổn tình trạng mụn đỡ hơn hẳn luôn í,Gel Rửa Mặt & Tắm La Roche-Posay Làm Sạch & Giảm Mụn 400ml Đã mua hàng online,21: 46 | 04/10/2022,5.0
31,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,Trà My,nó kh hợp với làn da của mình =(((,"Gel Rửa Mặt La Roche-Posay Giảm Mụn Cho Mặt, Toàn Thân 50ml Đã mua hàng online",10: 22 | 29/07/2022,2.0
32,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,Trương Như,"giao nhanh lắm, shop tư vấn nhiệt tình vô cùng, shipper vui tính nhiệt tình nữa",Gel Rửa Mặt & Tắm La Roche-Posay Làm Sạch & Giảm Mụn 400ml Đã mua hàng online,15: 58 | 19/07/2022,5.0
33,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,ĐẶNG TẤN TÀI,tốt. rửa sạch. k khô,Gel Rửa Mặt & Tắm La Roche-Posay Làm Sạch & Giảm Mụn 400ml Đã mua hàng online,18: 02 | 19/04/2022,5.0
34,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,Lê Văn Lý,Dùng rất ok cá nhân m sử dụng không bị khô ra rửa x rất dễ chịu sp nay k có mùi ai dị ứng bạc hà thì né còn m thì ko thấy rửa cở 2 ngay la mụn đỏ dịu liền,Gel Rửa Mặt & Tắm La Roche-Posay Làm Sạch & Giảm Mụn 400ml Đã mua hàng online,00: 33 | 07/04/2022,5.0
35,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,Ngọc Phạm,"không hiểu sao không được cấp phép chụp ảnh. nhưng hàng về thì bề mặt ngoài lọ gel trầy xước nhiều chỗ. ấn tượng đầu tiên là rửa mát và sạch, còn giảm mụn phải chờ thêm tg mới biết.",Gel Rửa Mặt & Tắm La Roche-Posay Làm Sạch & Giảm Mụn 400ml Đã mua hàng online,10: 14 | 21/12/2021,4.0
36,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-cho-mat-va-co-the-lam-giam-mun-50ml-90901.html,"['90901', '88667']",90901,Vân Anh,"Tính đến giờ là mình đã sử dụng gần được 2 tháng đối với em srm này. Theo cảm nhận đánh giá thì da sau khi rửa xong rất sạch thoáng, không bị khô da. Vì trong em này có thành phần BHA nên sau khi rửa da cảm giác sạch thật sự. Ngoài ra mình thích sự the của nó trong khi rửa hehe",Gel Rửa Mặt & Tắm La Roche-Posay Làm Sạch & Giảm Mụn 400ml Đã mua hàng online,13: 15 | 09/08/2021,5.0
37,https://hasaki.vn/san-pham/tui-refill-bot-rua-mat-hada-labo-duong-am-da-140ml-103553.html,"['103553', '73390']",103553,My phung,rửa rất êm mịn da,Bọt Rửa Mặt Hada Labo Dưỡng Ẩm Cho Mọi Loại Da 160ml Đã mua hàng online,14: 26 | 17/07/2023,5.0
38,https://hasaki.vn/san-pham/tui-refill-bot-rua-mat-hada-labo-duong-am-da-140ml-103553.html,"['103553', '73390']",103553,Thu Phạm,Siêu ưng bảng thành phần của e này. Khả năng làm sạch tốt Cấp ẩm không tốt bằng tuýp srm trắng mình đang dùng. Có mùi hắc khó chịu. Da mình da khô đổ dầu dùng ổn,Bọt Rửa Mặt Hada Labo Dưỡng Ẩm Cho Mọi Loại Da 160ml Đã mua hàng online,02: 12 | 22/02/2022,3.0
