,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,Nguyễn Thị Mỹ Nhi,Nước tẩy trang tốt. Không gây rát gia. Tẩy trang sạch giá còn phải chăng,"Nước Tẩy Trang Nivea Energy Dưỡng Sáng, Mờ Thâm 400ml Đã mua hàng online",20: 58 | 13/09/2023,5.0
1,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,Tien Pham,"Dịu nhẹ, không gây kích ứng (mình da mụn), làm sạch ổn đối với da chỉ dùng kcn",Nước Tẩy Trang Nivea Kiểm Soát Nhờn 200ml Đã mua hàng online,15: 17 | 05/05/2023,4.0
2,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,Xuân Thủy,.,Nước Tẩy Trang Nivea Ngăn Ngừa Mụn 200ml Đã mua hàng online,10: 34 | 11/04/2023,5.0
3,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,Phạm Trà My,"Mình da dầu/hỗn hợp/mụn cảm thấy sd rất ổn áp nha mng, nhưng chỉ phù hợp v bạn nào dùng kem chống nắng thôi thì tẩy rất sạch còn makeup thì phải tẩy 2 lần. Điểm trừ là sau khi tẩy xong thì sẽ có lớp màn khá rít trên da phải rửa mặt lại liền nếu để lâu thì sẽ dễ lên mụn á.",Nước Tẩy Trang Nivea Sạch Sâu Ngăn Ngừa Mụn 200ml Đã mua hàng online,02: 21 | 06/11/2022,5.0
4,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,Phương Thảo,"ổn, trong tầm giá, em này theo mình thay thì có chút mùi giống như rượu:v, nhược điểm là hơi cay mắt thui, khi tẩy trang thì da khá ẩm mịn, nhưng nói đúng hơn thì là nhớt í mọi ng",Nước Tẩy Trang Nivea Sáng Da & Kiểm Soát Nhờn Mụn 400ml Đã mua hàng online,20: 28 | 12/09/2022,4.0
5,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,Minh Ngoc,"Dùng ổn, giá hssv. Phù hợp với làn da không make up nhiều",Nước Tẩy Trang Nivea Sạch Sâu Ngăn Ngừa Mụn 200ml Đã mua hàng online,01: 13 | 20/08/2022,5.0
6,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,Han Thai Ngoc,"Phù hợp giá tiền, tẩy nhẹ, sau khi tẩy rửa mặt cảm giác hơi trơn da, không bị khô.",Nước Tẩy Trang Nivea Sáng Da & Kiểm Soát Nhờn Mụn 400ml Đã mua hàng online,15: 05 | 07/03/2022,5.0
7,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,Huỳnh Vy,,Nước Tẩy Trang Nivea Sạch Sâu Ngăn Ngừa Mụn 200ml Đã mua hàng online,16: 18 | 05/01/2022,5.0
8,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,ngọc thanh,mình mua 2 chai mà trước đó mình xài 2 chai rồi nên có thể thấy sp tốt cỡ nào,Nước Tẩy Trang Nivea Sạch Sâu Ngăn Ngừa Mụn 200ml Đã mua hàng online,16: 20 | 17/08/2021,5.0
9,https://hasaki.vn/san-pham/nuoc-tay-trang-nivea-sach-sau-ngan-ngua-mun-200ml-28140.html,"['28140', '11163', '102507', '92709', '3438', '28146', '3257', '92711', '92707', '7943']",28140,Ngọc Khánh,"Dùng tẩy trang khá ổn, phù hợp với giá tiền",Nước Tẩy Trang Nivea Tinh Chất Ngọc Trai Sáng Da 125ml Đã mua hàng online,17: 16 | 05/06/2021,5.0
10,https://hasaki.vn/san-pham/nuoc-tay-trang-nature-republic-tu-khoang-chat-500ml-98407.html,"['98405', '98407']",98407,PHẠM QUỲNH Anh,mình xài hết 1 chai mới quay lại đánh giá. tẩy trang rất sạch. đỡ mụn ẩn. sản phẩm rất tốt. các bạn da ít vấn đề nên mua. đúng ngon bổ rẻ luôn.,Nước Tẩy Trang Nature Republic Từ Khoáng Chất 500ml Đã mua hàng online,00: 56 | 02/12/2023,5.0
