,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/mat-na-bio-essence-duong-am-da-chiet-xuat-tao-bien-20ml-80249.html,"['80249', '99619', '99617', '99621', '80415', '75238']",80249,Pham Nhi,loại mặt nạ này mình đc 1 anh nhân viên tư vấn cho (mình da dầu thiếu nước có mụn với cũng hay bị kích ứng nữa) lần đầu tiên xài loại mna cấp ẩm làm dịu da mà ko bị nhớt nhớt khó chịu cảm giác mấy vết mụn mình dịu đi ko bị kích ứng xài phê lắm cảm giác mát mát trên mặt đã cực *nên bỏ vào tủ lạnh r đem ra xài,Combo 3 Mặt Nạ Bio-essence Chiết Xuất Tảo Biển 20ml Đã mua hàng online,19: 40 | 02/03/2024,5.0
1,https://hasaki.vn/san-pham/mat-na-bio-essence-duong-am-da-chiet-xuat-tao-bien-20ml-80249.html,"['80249', '99619', '99617', '99621', '80415', '75238']",80249,Nhi Transbơ,"Rất tuyệt vời ln, đắp xong da căng mướt, láng bóng, xài là mê nha",Mặt Nạ Bio-essence Hoa Mẫu Đơn Hoàng Cung Dưỡng Da 20ml Đã mua hàng online,06: 56 | 05/07/2023,5.0
2,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-hyaluronic-acid-cap-nuoc-20g-98027.html,"['98037', '98033', '98025', '98029', '98027', '98035', '98023', '98019', '98031', '98021']",98027,loiloi,"thử biết bao mặt nạ peptide, b5 thì vẫn quay về với e some by mi rau má thôi. Lành tính, thuần chay, dịu đỏ, dưỡng chất vừa đủ không bị nhễ nhại như những loại khác 10₫₫₫₫","Mặt Nạ Dưỡng Da Some By Mi Cica Giảm Kích Ứng, Dịu Da 20g",21: 32 | 11/03/2024,5.0
3,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-hyaluronic-acid-cap-nuoc-20g-98027.html,"['98037', '98033', '98025', '98029', '98027', '98035', '98023', '98019', '98031', '98021']",98027,Nguyễn giang trúc,"rít mặt nên đắp xomg phải lau lại rôid dùng dưỡng sau đó. tuy nhiên mask khá tốt, đắp xong ko bị kích ứng gì cả...",Mặt Nạ Dưỡng Da Some By Mi Hyaluronic Acid Cấp Nước 20g Đã mua hàng online,23: 05 | 17/07/2023,4.0
4,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-hyaluronic-acid-cap-nuoc-20g-98027.html,"['98037', '98033', '98025', '98029', '98027', '98035', '98023', '98019', '98031', '98021']",98027,Quynh Anh,đắp xong da mặt mịn màng mà nó còn giảm bớt dầu nữa,Mặt Nạ Dưỡng Da Some By Mi Tràm Trà Làm Dịu Da Mụn 20g Đã mua hàng online,14: 09 | 19/03/2023,5.0
5,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-hyaluronic-acid-cap-nuoc-20g-98027.html,"['98037', '98033', '98025', '98029', '98027', '98035', '98023', '98019', '98031', '98021']",98027,C CẨM TÚ,"Cực kì ưng dòng này luôn, mặt bị nổi mụn sưng đắp xong cái qua ngày sau dịu lại liền. Da mình hay bị sần sần đắp ẻm cái trộm día mướt mát liền nên thử nha mn",Mặt Nạ Dưỡng Da Some By Mi AHA-BHA-PHA Tẩy Tế Bào Chết 20g Đã mua hàng online,01: 15 | 05/08/2022,5.0
6,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-hyaluronic-acid-cap-nuoc-20g-98027.html,"['98037', '98033', '98025', '98029', '98027', '98035', '98023', '98019', '98031', '98021']",98027,Nguyễn Vi,"Mask này làm dịu da ổn áp á mn. Da t đang có tình trạng mụn nhẹ, đắp xong qua hôm sau là mụn lặn bớt, tình trạng đỏ da cũng giảm đáng kể. Chốt đơn","Mặt Nạ Dưỡng Da Some By Mi Cica Giảm Kích Ứng, Dịu Da 20g Đã mua hàng online",12: 59 | 25/04/2022,5.0
7,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-hyaluronic-acid-cap-nuoc-20g-98027.html,"['98037', '98033', '98025', '98029', '98027', '98035', '98023', '98019', '98031', '98021']",98027,nguyen hong ngoc thuy,"mask đắp đã, dùng xong chừng 2 ngày cục mụn có thể nặn luôn :vvv",Mặt Nạ Dưỡng Da Some By Mi AHA-BHA-PHA Tẩy Tế Bào Chết 20g Đã mua hàng online,00: 27 | 28/02/2022,5.0
8,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-hyaluronic-acid-cap-nuoc-20g-98027.html,"['98037', '98033', '98025', '98029', '98027', '98035', '98023', '98019', '98031', '98021']",98027,DÂNG,Trời ơi là trời!!!!!! Xài xong cái mask real vitamin C. Mặt tone sáng dữ dội,Mặt Nạ Dưỡng Da Some By Mi Vitamin C Làm Sáng Da 20g Đã mua hàng online,18: 20 | 20/12/2021,5.0
9,https://hasaki.vn/san-pham/combo-2-kem-duong-caryophy-cap-nuoc-va-phuc-hoi-da-mun-40ml-107850.html,"['107850', '100195']",107850,Thu Trang,"Ko kích ứng, dưỡng ẩm ngày & đêm oke",Kem Dưỡng Caryophy Cấp Nước Và Phục Hồi Da Mụn 40ml (HSD: 06/2025) Đã mua hàng online,12: 19 | 29/02/2024,5.0
10,https://hasaki.vn/san-pham/combo-2-kem-duong-caryophy-cap-nuoc-va-phuc-hoi-da-mun-40ml-107850.html,"['107850', '100195']",107850,Ý,Sài êm không kích ứng,Kem Dưỡng Caryophy Cấp Nước Và Phục Hồi Da Mụn 40ml Đã mua hàng online,10: 26 | 23/11/2022,5.0
11,https://hasaki.vn/san-pham/combo-2-kem-duong-caryophy-cap-nuoc-va-phuc-hoi-da-mun-40ml-107850.html,"['107850', '100195']",107850,Trân,"Mình săn sale 10.10, sp chỉ có giá 79k thôi, sau 1 tháng sd vào mỗi tối, chất kem đặc, dễ thấm, công dụng trên da mình chậm lắm, ko bị kích ứng, hi vọng là sd lâu dài sẽ cải thiện đc làn da của mình.",Kem Dưỡng Caryophy Cấp Nước Và Phục Hồi Da Mụn 40ml Đã mua hàng online,07: 32 | 09/11/2022,4.0
12,https://hasaki.vn/san-pham/sua-tay-trang-evoluderm-chiet-xuat-vitamin-e-danh-cho-da-thuong-250ml-1294.html,"['1424', '1294']",1294,Phụng Lâm Kim,,Sữa Tẩy Trang Hằng Ngày Dịu Nhẹ Evoluderm 500ml Đã mua hàng online,22: 39 | 06/04/2020,5.0
13,https://hasaki.vn/san-pham/sua-tay-trang-evoluderm-chiet-xuat-vitamin-e-danh-cho-da-thuong-250ml-1294.html,"['1424', '1294']",1294,Nguyễn Thị Thu Huyền,"Em này dùng đã lắm, mùi thơm nhẹ mềm mịn da không có cảm giác khô hay nhờn rít",Sữa Tẩy Trang Hằng Ngày Dịu Nhẹ - 250ml Đã mua hàng online,10: 39 | 03/03/2018,5.0
14,https://hasaki.vn/san-pham/sua-tay-trang-evoluderm-chiet-xuat-vitamin-e-danh-cho-da-thuong-250ml-1294.html,"['1424', '1294']",1294,Kim Hoàng Hạ,Thơm lắm nhe. Chỉ có k tạo bọt nên mình k thích lắm,Sữa Tẩy Trang Hằng Ngày Dịu Nhẹ - 250ml Đã mua hàng online,12: 29 | 11/02/2018,5.0
15,https://hasaki.vn/san-pham/mat-na-foodaholic-niacinamide-duong-sang-cang-bong-da-23ml-114705.html,"['114703', '114705', '114699', '114701', '114709', '114707', '114697']",114705,Alas Huỳnh,"Mặt nạ giá rẻ mà chất liệu tuyệt vời. Ai mới nặn mụn xong, hoặc có mấy nốt mụn sưng viêm thì đắp xong da dịu hẳn, bớt sưng liền nha, cũng mau lành vùng da tổn thương nữa. Mình đắp xong, thoa kem dưỡng rồi đi ngủ luôn. Các dòng mặt nạ của brand này đều ổn áp, giá cả lại phải chăng.","Mặt Nạ Foodaholic Ceramide Làm Dịu, Phục Hồi Da Mụn 23ml Đã mua hàng online",21: 22 | 05/02/2024,5.0
16,https://hasaki.vn/san-pham/kem-duong-beldora-299-retinol-0-5-phu-bong-ngua-mun-35ml-99775.html,"['99775', '99205', '99207', '99773']",99775,TVV_ Tấn Thành,"sp này mình dùng rất ưng ý, căng bóng min da hơn nhìu á","Kem Dưỡng Beldora 299 Retinol 0.5 Phủ Bóng, Ngừa Mụn 35ml",09: 27 | 17/05/2022,5.0
17,https://hasaki.vn/san-pham/kem-duong-beldora-299-retinol-0-5-phu-bong-ngua-mun-35ml-99775.html,"['99775', '99205', '99207', '99773']",99775,TVV_ Tấn Thành,"em này thì hợp cho những bạn mới dùng nhưng có da khoẻ tí da, mình dùng sau 4 tuần thấy hiệu quả ổn lắm nè",Kem Dưỡng Beldora 299 Retinol 0.3 Căng Bóng Da 35ml,09: 26 | 17/05/2022,5.0
18,https://hasaki.vn/san-pham/kem-duong-beldora-299-retinol-0-5-phu-bong-ngua-mun-35ml-99775.html,"['99775', '99205', '99207', '99773']",99775,TVV_ Tấn Thành,"mình mua em này dùng ổn, không bị kích ứng, rất đáng tiền",Kem Dưỡng Beldora 299 Retinol 0.1 Ngăn Ngừa Nếp Nhăn 35ml,09: 22 | 17/05/2022,5.0
