,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,Thu Hương,"mình siêu ưng em này luôn, đợt đc tặng sn mà ghiền dùng đến giờ, trộm vía thấy da k bị khô mà vẫn ẩm","Nước Tẩy Trang L'Oreal Dưỡng Ẩm Cho Da Thường, Khô 400ml Đã mua hàng online",00: 15 | 08/03/2024,5.0
1,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,Lưu văn Quân,tuyệt lắm nha,"Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml",16: 05 | 06/03/2024,5.0
2,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,lê thị như quỳnh,"một từ thôi ""tuyệt""ko thắc mắc gì hết","Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml Đã mua hàng online",21: 44 | 05/03/2024,5.0
3,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,Vy Thao,"Đây là nước tẩy trang mà tui cảm giác ổn nhất, phù hợp với người có làn da hỗn hợp. tẩy trang sạch dịu nhẹ, mướt. Còn trang điểm thì cần phải tẩy trang kĩ hơn mới sạch hết được","Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml Đã mua hàng online",11: 28 | 02/01/2024,5.0
4,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,Nguyễn Hoa,Thương hiệu xứng đáng điểm 10,"Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml",11: 04 | 05/12/2023,5.0
5,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,Mỹ Mỹ Trịnh,Hiệu quả lắm ạ,Nước Tẩy Trang L'Oreal Làm Sạch Và Cấp Ẩm 400ml,09: 02 | 04/12/2023,5.0
6,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,Trần Thị Thu Thuỷ,dùng thích cực đỉnh,Nước Tẩy Trang L'Oreal Làm Sạch Sâu Trang Điểm 400ml,09: 44 | 03/12/2023,5.0
7,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,Vu thi Nga,Sản phẩm tốt an toàn cho da,"Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml",14: 22 | 19/11/2023,5.0
8,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,Uyen Le,"Dòng sạch sâu này đúng là hợp với da dầu mụn, dùng okie, tẩy sạch và êm nha.",[Mini] Nước Tẩy Trang L'Oréal Làm Sạch Sâu Cho Da Dầu 95ml Đã mua hàng online,12: 07 | 19/11/2023,5.0
9,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"['99707', '102557', '5294', '19286', '19325', '95711', '5296', '74832', '34119']",19325,Uyen Le,"Nước tẩy trang sạch lớp trang điểm và mascara, dùng trên mặt khá êm. Ổn.",[Mini] Nước Tẩy Trang L'Oreal Làm Sạch Sâu Trang Điểm 95ml Đã mua hàng online,11: 24 | 19/11/2023,5.0
10,https://hasaki.vn/san-pham/nuoc-hoa-hong-khong-mui-klairs-danh-cho-da-nhay-cam-180ml-65994.html,"['65994', '65998']",65994,Ngọc Lý,"toner vừa túi tiền, trộm vía xài ok, dịu nhẹ",Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,11: 14 | 27/02/2024,5.0
