,data_product_id,content_comment,lower_comment,decoded_comment,translated_comment
0,65994,"Giao lâu, chất lượng + đóng gói oke","giao lâu, chất lượng + đóng gói oke","giao lâu, chất lượng + đóng gói oke","Long delivery, quality + packaging ok"
1,65994,"thích em này thật sự, mùi thơm thảo mộc, lành tính. Sẽ luôn ủng hộ!!","thích em này thật sự, mùi thơm thảo mộc, lành tính. sẽ luôn ủng hộ!!","thích em này thật sự, mùi thơm thảo mộc, lành tính. sẽ luôn ủng hộ!!","I really like this one, the scent is herbal and benign. will always support!!"
2,65994,Toner này gần như ko mùi Dạng sệt thoa lên da thấm mịn lại ráo da. Ko bị dính dính như hadalabo Thích e này lắm. Kết hợp kem midnight đánh bay mụn ẩn luôn,toner này gần như ko mùi dạng sệt thoa lên da thấm mịn lại ráo da. ko bị dính dính như hadalabo thích e này lắm. kết hợp kem midnight đánh bay mụn ẩn luôn,toner này gần như không mùi dạng sệt thoa lên da thấm mịn lại ráo da. không bị dính dính như hadalabo thích e này lắm. kết hợp kem midnight đánh bay mụn ẩn luôn,"This toner is almost odorless and has a thick consistency that is applied to the skin, absorbs smoothly and then dries off. Not sticky like hadalabo, I like this one very much. Combine with midnight cream to get rid of hidden acne"
3,65994,"Vô thưởng vô phạt, dễ chịu, không mùi Thiết kế nắp khó sử dụng","vô thưởng vô phạt, dễ chịu, không mùi thiết kế nắp khó sử dụng","vô thưởng vô phạt, dễ chịu, không mùi thiết kế nắp khó sử dụng","innocuous, pleasant, odorless and difficult to use lid design"
4,65994,giao hàng nhanh với cả xài rất tốt í,giao hàng nhanh với cả xài rất tốt í,giao hàng nhanh với cả xài rất tốt í,Fast delivery and very good to use
5,65994,Rất hài lòng,rất hài lòng,rất hài lòng,Very pleased
6,65994,"toner dưỡng ẩm tốt, mùi thơm dễ chịu","toner dưỡng ẩm tốt, mùi thơm dễ chịu","toner dưỡng ẩm tốt, mùi thơm dễ chịu","Good moisturizing toner, pleasant fragrance"
7,65994,Sp tốt. Đóng gói cẩn thận. giao hàng trễ,sp tốt. đóng gói cẩn thận. giao hàng trễ,sản phẩm tốt. đóng gói cẩn thận. giao hàng trễ,good product. careful packing. late delivery
8,65994,"Thực sự là mình ko thích loại này lắm, da mình dầu mụn, thấy dùng da thâm xỉn mà lại mụn thâm hơn","thực sự là mình ko thích loại này lắm, da mình dầu mụn, thấy dùng da thâm xỉn mà lại mụn thâm hơn","thực sự là mình không thích loại này lắm, da mình dầu mụn, thấy dùng da thâm xỉn mà lại mụn thâm hơn","Actually, I don't like this product very much. My skin is oily and acne-prone. I find that using it on my skin is dull and makes my acne worse"
9,65994,da dầu như mình xài êm.thành phần dịu nhẹ,da dầu như mình xài êm.thành phần dịu nhẹ,da dầu như mình xài êm.thành phần dịu nhẹ,"For oily skin like mine, it's easy to use. Gentle ingredients"
