,product_id,data_product_id,link_item,title,original_price,current_price,quantity_sold,product_variant,review_count
0,205100137,19325,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,"Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml",229.000 ₫,169.000 ₫,4.885,400ml,281
1,318900012,65994,https://hasaki.vn/san-pham/nuoc-hoa-hong-khong-mui-klairs-danh-cho-da-nhay-cam-180ml-65994.html,Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,409.000 ₫,266.000 ₫,2.984,180ml,99
2,204900013,12684,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-kiem-soat-dau-spf50-50ml-12684.html,Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,560.000 ₫,378.000 ₫,1.752,50ml,152
3,253900006,86167,https://hasaki.vn/san-pham/kem-chong-nang-skin1004-chiet-xuat-rau-ma-spf50-pa-50ml-86167.html,Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 50ml,425.000 ₫,239.000 ₫,2.582,50ml,73
4,205100146,34119,https://hasaki.vn/san-pham/nuoc-tay-trang-l-oreal-3-in-1-lam-sach-sau-400ml-34119.html,Nước Tẩy Trang L'Oreal Làm Sạch Sâu Trang Điểm 400ml,269.000 ₫,199.000 ₫,2.549,400ml,281
5,422206430,99221,https://hasaki.vn/san-pham/sua-chong-nang-anessa-duong-da-kiem-dau-bao-ve-hoan-hao-60ml-99221.html,Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml,715.000 ₫,393.000 ₫,1.258,60ml,64
6,200400003,9740,https://hasaki.vn/san-pham/nuoc-tay-trang-bioderma-danh-cho-da-nhay-cam-500ml-9740.html,Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 500ml,525.000 ₫,350.000 ₫,1.344,500ml,110
7,422208973,102959,https://hasaki.vn/san-pham/sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-473ml-102959.html,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 473ml,455.000 ₫,359.000 ₫,1.088,473ml,57
8,200400004,11089,https://hasaki.vn/san-pham/nuoc-tay-trang-bioderma-danh-cho-da-dau-hon-hop-500ml-11089.html,Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 500ml,525.000 ₫,350.000 ₫,950,500ml,102
9,422204795,96523,https://hasaki.vn/san-pham/gel-rua-mat-cosrx-tram-tra-0-5-bha-co-do-ph-thap-150ml-96523.html,"Gel Rửa Mặt Cosrx Tràm Trà, 0.5% BHA Có Độ pH Thấp 150ml",339.000 ₫,125.000 ₫,2.611,150ml,171
10,204900024,43795,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-nhay-cam-400ml-43795.html,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml,525.000 ₫,370.000 ₫,758,400ml,33
11,205100136,19286,https://hasaki.vn/san-pham/nuoc-tay-trang-l-oreal-paris-3-in-1-duong-am-danh-cho-da-thuong-da-kho-400ml-19286.html,"Nước Tẩy Trang L'Oreal Dưỡng Ẩm Cho Da Thường, Khô 400ml",229.000 ₫,169.000 ₫,1.650,400ml,281
12,422211240,106681,https://hasaki.vn/san-pham/kem-duong-la-roche-posay-giup-phuc-hoi-da-da-cong-dung-40ml-106681.html,Kem Dưỡng La Roche-Posay Giúp Phục Hồi Da Đa Công Dụng 40ml,410.000 ₫,312.000 ₫,840,40ml,6
13,422211183,106533,https://hasaki.vn/san-pham/nuoc-tay-trang-garnier-danh-cho-da-dau-va-mun-400ml-moi-106533.html,Nước Tẩy Trang Garnier Dành Cho Da Dầu Và Mụn 400ml (Mới),189.000 ₫,155.000 ₫,1.666,400ml,51
14,100220035,2364,https://hasaki.vn/san-pham/dung-dich-tay-da-chet-paula-s-choice-bha-2-30ml-2364.html,Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 30ml,399.000 ₫,239.000 ₫,1.026,30ml,137
15,422209322,103543,https://hasaki.vn/san-pham/sua-rua-mat-cetaphil-diu-nhe-khong-xa-phong-500ml-moi-103543.html,Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 500ml (Mới),419.000 ₫,329.000 ₫,696,500ml,30
16,231100005,89563,https://hasaki.vn/san-pham/tinh-chat-goodndoc-duong-am-ho-tro-phuc-hoi-da-30ml-89563.html,"Serum GoodnDoc Dưỡng Ẩm, Hỗ Trợ Phục Hồi Da 30ml",490.000 ₫,325.000 ₫,699,30ml,17
17,422200152,90023,https://hasaki.vn/san-pham/tinh-chat-l-oreal-hyaluronic-acid-cap-am-sang-da-30ml-90023.html,Serum L'Oreal Hyaluronic Acid Cấp Ẩm Sáng Da 30ml,499.000 ₫,379.000 ₫,559,30ml,14
